Produto,Conglomerado,Cidade,Seg,Canal,Estabelecimento,Bairro,Marca,A03 - PET 500ML,A06 - PET 1500ML,C03 - VIDRO 600ML RET,C04 - VIDRO 600ML DESC,C09 - LONGNECK  250 ML,C10 - LONGNECK 330ML,C11 - LONGNECK 355ML,C14 – LATA 250 ML,C16 - LATA 350ML,E01 - LATA 250 ML,E03 - LATA - 473 ML,E10 - PET 600ML,I04 – PET 500 ML,R01 - PET 237ML,R01a - PET 250ML,R05 - PET 600ML,"R08 - PET 1,5L",R10 - PET  2L,R18a - LATA  220ML,R19 - LATA 270ML,R20 – LATA 310ML,R21 - LATA 350ML
REFRIGERANTE,taguatinga,taguatinga,1,1,hp fort atacadista (precos varejo),norte,PEPSI COLA,,,,,,,,,,,,,,,,,"4,49",,,"2,19","2,09","1,99"
REFRIGERANTE,gama,rcto das emas,1,3,db fort atacadista (precos atacado),recanto das emas,PEPSI COLA,,,,,,,,,,,,,,"1,99",,"3,99","6,19","5,99",,"2,19",,"1,99"
REFRIGERANTE,gama,rcto das emas,1,1,hp fort atacadista (precos varejo),recanto das emas,PEPSI COLA,,,,,,,,,,,,,,"1,99",,"3,99","6,19","6,19",,"2,19",,"1,99"
REFRIGERANTE,taguatinga,aguas claras,1,3,db assai atacadista (precos atacado),areal,MINEIRO SABORES,,,,,,,,,,,,,,,,"2,99","3,59","3,59",,,,"1,99"
REFRIGERANTE,taguatinga,aguas claras,1,3,db atacadao distribuidor (precos atacado),areal,MINEIRO SABORES,,,,,,,,,,,,,,,"1,19","2,99","3,59","5,59",,,,"1,99"
REFRIGERANTE,taguatinga,aguas claras,1,1,hp assai atacadista (precos varejo),areal,MINEIRO SABORES,,,,,,,,,,,,,,,,"2,99","3,59","3,59",,,,"1,99"
REFRIGERANTE,taguatinga,aguas claras,1,1,hp atacadao distribuidor (precos varejo),areal,MINEIRO SABORES,,,,,,,,,,,,,,,"1,19","2,99","3,59","5,59",,,,"1,99"
REFRIGERANTE,brasilia,asa norte,1,3,db assai atacadista (precos atacado),asa norte,MINEIRO SABORES,,,,,,,,,,,,,,,"1,19","2,99",,"4,59",,,,"1,99"
REFRIGERANTE,brasilia,asa norte,1,1,hp assai atacadista (precos varejo),asa norte,MINEIRO SABORES,,,,,,,,,,,,,,,"1,19","2,99",,"4,59",,,,"1,99"
REFRIGERANTE,ceilandia,ceilandia,1,3,db assai atacadista (precos atacado),sul,MINEIRO SABORES,,,,,,,,,,,,,,,"1,19","2,99","3,59","5,59",,,,"1,99"
REFRIGERANTE,ceilandia,ceilandia,1,1,hp assai atacadista (precos varejo),sul,MINEIRO SABORES,,,,,,,,,,,,,,,"1,19","2,99","3,59","5,59",,,,"1,99"
REFRIGERANTE,sobradinho,planaltina,1,3,db ultrabox atacado e varejo (precos atacado),estancia,MINEIRO SABORES,,,,,,,,,,,,,,,,"3,49",,"5,99",,,,"1,99"
REFRIGERANTE,sobradinho,planaltina,1,1,hp ultrabox atacado e varejo (precos varejo),estancia,MINEIRO SABORES,,,,,,,,,,,,,,,,"3,49",,"5,99",,,,"1,99"
REFRIGERANTE,guara,sia,1,3,db assai atacadista (precos atacado),sia,MINEIRO SABORES,,,,,,,,,,,,,,,,"2,99","3,59","3,59",,,,"1,99"
REFRIGERANTE,guara,sia,1,3,db atacadao distribuidor (precos atacado),sia,MINEIRO SABORES,,,,,,,,,,,,,,,"1,19","2,99","3,59","5,59",,,,"1,99"
REFRIGERANTE,guara,sia,1,1,hp assai atacadista (precos varejo),sia,MINEIRO SABORES,,,,,,,,,,,,,,,,"2,99","3,59","3,59",,,,"1,99"
REFRIGERANTE,guara,sia,1,1,hp atacadao distribuidor (precos varejo),sia,MINEIRO SABORES,,,,,,,,,,,,,,,"1,19","2,99","3,59","5,59",,,,"1,99"
REFRIGERANTE,taguatinga,taguatinga,1,3,db atacadao distribuidor (precos atacado),norte,MINEIRO SABORES,,,,,,,,,,,,,,,"1,19","2,99","3,59","4,59",,,,"1,99"
REFRIGERANTE,taguatinga,taguatinga,1,1,hp atacadao distribuidor (precos varejo),norte,MINEIRO SABORES,,,,,,,,,,,,,,,"1,19","2,99","3,59","5,59",,,,"1,99"
REFRIGERANTE,taguatinga,aguas claras,1,3,db melhor atacadista (precos atacado),areal,PEPSI COLA ZERO/BLACK,,,,,,,,,,,,,,"1,29",,,,"5,49",,,,"1,99"
REFRIGERANTE,taguatinga,aguas claras,1,1,hp melhor atacadista (precos varejo),areal,PEPSI COLA ZERO/BLACK,,,,,,,,,,,,,,"1,29",,,,"5,49",,,,"1,99"
REFRIGERANTE,guara,guara,1,3,db melhor atacadista (precos atacado),guara 2,PEPSI COLA ZERO/BLACK,,,,,,,,,,,,,,,,,,"5,49",,,,"1,99"
REFRIGERANTE,guara,guara,1,1,hp melhor atacadista (precos varejo),guara 2,PEPSI COLA ZERO/BLACK,,,,,,,,,,,,,,,,,,"5,49",,,,"1,99"
REFRIGERANTE,outros,riacho fundo,1,3,db melhor atacadista (precos atacado),riacho fundo 2,PEPSI COLA ZERO/BLACK,,,,,,,,,,,,,,"1,29",,,,"5,49",,,,"1,99"
REFRIGERANTE,outros,riacho fundo,1,1,hp melhor atacadista (precos varejo),riacho fundo 2,PEPSI COLA ZERO/BLACK,,,,,,,,,,,,,,"1,29",,,,"5,49",,,,"1,99"
